id,name,latitude,longitude,neighborhood,room_type,price,availability_365,number_of_reviews,reviews_per_month,review_scores_rating
696946811670176035,"The Céline® Highrise - Stunning City Views, Gym",41.88725764140599,-87.61833309,Loop,Entire home/apt,163.0,317,1,0.03,5.0
697074182419703604,Amazing 1Br 1Ba Great Location Awesome Views +Pool,41.88097,-87.64565,Near West Side,Entire home/apt,175.0,66,0,,
697828213237048163,"All new 2BR in Pilsen, laundry incl",41.8474879,-87.682753,Lower West Side,Entire home/apt,81.0,141,4,0.11,5.0
697860758521576187,2-Bedroom w/ Kitchen & Laundry,41.83129,-87.67288,Mckinley Park,Entire home/apt,177.0,330,56,1.6,4.98
697907130749513860,Cute Flat Over The Garden With Patio,41.900179,-87.6822752,West Town,Entire home/apt,102.0,146,7,0.22,4.57
699280220847287025,Cozy 2BR Haus with gazebo & fire pit in Pilsen,41.85341,-87.66955,Lower West Side,Entire home/apt,146.0,322,80,2.17,4.81
699927757518228053,Sentral 1BR Premium Apt in South Loop Chicago,41.87149,-87.62457,Loop,Entire home/apt,329.0,355,107,2.88,4.59
700016079489822320,Nice & cozy 1-bedroom condo in Irving Park Chicago,41.95583,-87.73072,Irving Park,Entire home/apt,79.0,319,10,0.3,4.8
700062925425980212,McCormick 2B/2Ba for up to 8 guests w Skyline view,41.8556,-87.6234,Near South Side,Entire home/apt,189.0,348,64,1.73,4.69
700201917924451492,Homey|Vintage|2BR Uptown,41.966834,-87.668033,Uptown,Entire home/apt,90.0,126,101,2.78,4.73
700219220847904319,Cozy & Perfectly Located Apt,41.966834,-87.668033,Uptown,Entire home/apt,104.0,151,114,3.83,4.74
700267927388746877,Chateau Elegante Chicago near Downtwn United Centr,41.87481229999999,-87.6898785,Near West Side,Entire home/apt,197.0,361,19,0.54,4.89
700756881572123144,Peaceful Modern Full House in Trendy Bridgeport,41.83700611545236,-87.650678,Bridgeport,Entire home/apt,90.0,304,238,6.39,4.96
700788215071379750,Luxuriously bright 3-bedroom condo: The Treehouse,41.90415,-87.68843,West Town,Entire home/apt,236.0,283,137,3.84,4.93
700938257605355958,Cozy & Bright Townhome near O’hare -Self Check In-,41.93291,-87.7927,Montclare,Entire home/apt,138.0,248,97,2.61,4.97
701061003322026604,The West Loop Guest Suite,41.881,-87.6477,Near West Side,Entire home/apt,267.0,206,0,,
701150071038475143,"Blueground | S Loop, gym & pool, nr Grant Park",41.86350729999999,-87.6237509,Near South Side,Entire home/apt,187.0,281,0,,
701311860787764868,Cozy 420-Friendly 3BR City Retreat Near McCormick,41.85461,-87.62779,Near South Side,Entire home/apt,212.0,358,70,1.88,4.74
701344393800438292,Sleek & Spacious 3BR 420-OK Near McCormick Place,41.85592,-87.6257,Near South Side,Entire home/apt,239.0,351,73,1.97,4.92
701445073899113339,"Great Chicago getaway, 2 bedrooms. Sleeps 4",41.9468773,-87.7046759,Irving Park,Entire home/apt,126.0,331,53,1.52,4.94
701678386029960660,New Condo In Chicago Town,41.8371533,-87.6666234,Mckinley Park,Entire home/apt,166.0,347,98,2.94,4.8
701986904653138052,"Blueground | W. Loop, gym & coworking, near uic",41.876299,-87.6537208,Near West Side,Entire home/apt,184.0,86,0,,
701987560432934044,"Blueground | W. Loop, gym & coworking, near uic",41.8763,-87.65372,Near West Side,Entire home/apt,189.0,248,0,,
702291512504420543,Old Town/Gold Coast Masterpiece (+private rooftop),41.91026,-87.63333,Near North Side,Entire home/apt,272.0,67,93,2.5,4.86
702544116820304209,Wicker Park/Bucktown condo with outdoor patio,41.919033,-87.6808242,Logan Square,Entire home/apt,156.0,327,95,2.65,4.95
702820957164744664,Spacious Logan Square Sanctuary,41.92275,-87.70917,Logan Square,Entire home/apt,63.0,35,42,1.28,4.9
702836880005307297,"Relax & enjoy private house, green and quiet",41.89611,-87.67524,West Town,Entire home/apt,155.0,347,68,1.85,4.65
703093444248279743,"Downtown 2BR: Unique Amenities, Ideal for Tourism",41.8811582,-87.6316314,Loop,Entire home/apt,399.0,334,60,1.87,4.88
703770416622290119,"Urban Retreat: 2BR, Resort Amenities, Downtown",41.881158,-87.631631,Loop,Entire home/apt,427.0,319,47,1.52,4.89
703824700652249138,"Spacious, Artsy 4 BR/2 BA Apartment with Gameroom",41.85173,-87.7203,North Lawndale,Entire home/apt,166.0,245,81,2.21,4.85
704265676914840779,Bohemian Blessings,41.95662,-87.71485,Irving Park,Private room,64.0,326,36,1.59,4.78
704582593768746311,Family-Friendly 2BD/2BA Prime Location (+parking),41.908316039467714,-87.63417289,Near North Side,Entire home/apt,283.0,76,114,3.1,4.91
704972177972466238,"Beautiful, comfortable English House",41.9404298,-87.7817712,Dunning,Entire home/apt,160.0,362,11,0.42,4.73
705072819882209669,"Irving Park blue garden, Chicago’s north side",41.95314,-87.70595,Irving Park,Entire home/apt,109.0,365,5,0.18,4.8
